name,carbohydrates,fiber,sugars,potassium,vitaminC
Apple ,12.7,1.3,10.1,90,4
Apricot ,11.12,2,9.24,259,10
Avocado ,8.53,6.7,0.66,485,10
Banana ,22.84,2.6,12.23,358,8.7
Blackberries ,9.61,5.3,4.88,162,21
Blueberry ,14.49,2.4,9.96,77,9.7
Carambola_or_Starfruit,6.73,2.8,3.98,133,34.4
Cherimoya  ,17.71,3,12.87,287,12.6
Cherry  ,16.01,2.1,12.82,222,7
Clementine,12.02,1.7,9.18,177,48.8
Cranberries,12.2,4.6,4.04,85,13.3
Currants_Black,15.38,0,0,322,181
Currants_Red_and_White,13.8,4.3,7.37,275,41
Dates_deglet noor,75.03,8,63.35,656,0.4
Dates_medjool,74.97,6.7,66.47,696,0
Durian ,27.09,3.8,0,436,19.7
Fig ,19.18,2.9,16.26,232,2
Grape_pink_and_red,10.66,1.6,6.89,135,31.2
Grape_white,8.41,1.1,7.31,148,33.3
Grapes_red/green,18.1,0.9,15.48,191,10.8
Groundcherries/Cape_Gooseberries,11.2,0,0,0,11
Guava ,14.32,5.4,8.92,417,228.3
Gooseberries,10.18,4.3,0,198,27.7
Jack ,24.01,1.6,0,303,6.7
Kiwi_gold,14.23,2,10.98,316,105.4
Kiwi_green,14.66,3,8.99,312,92.7
Kumquat ,15.9,6.5,9.36,186,43.9
Lemon_with_peel,10.7,4.7,0,145,77
Lime ,10.54,2.8,1.69,102,29.1
Litchis_or_Lychees ,16.53,1.3,15.23,171,71.5
Mandarin-Clementine ,12.02,1.7,9.18,177,48.8
Mandarin-Tangerine ,13.34,1.8,10.58,166,26.7
Mango ,17,1.8,14.8,156,27.7
Melons_cantaloupe,8.16,0.9,7.86,267,36.7
Melons_casaba,6.58,0.9,5.69,182,21.8
Melons_honeydew,9.09,0.8,8.12,228,18
Mulberries,9.8,1.7,8.1,194,36.4
Nectarine ,10.55,1.7,7.89,201,5.4
Oranges ,11.75,2.4,9.35,181,53.2
Papaya ,9.81,1.8,5.9,257,61.8
Passion  ,23.38,10.4,11.2,348,30
Peaches ,9.54,1.5,8.39,190,6.6
Pear ,15.46,3.1,9.8,119,4.2
Persimmons_native,33.5,0,0,310,66
Pineapple ,13.12,1.4,9.85,109,47.8
Plum ,11.42,1.4,9.92,157,9.5
Pomegranate ,18.7,4,13.67,236,10.2
Quince ,15.3,1.9,0,197,15
Raspberry ,11.94,6.5,4.42,151,26.2
Strawberry ,7.68,2,4.89,153,58.8
Tangerine ,13.34,1.8,10.58,166,26.7
Watermelon ,7.55,0.4,6.2,112,8.1
